Sample_ID	n	total_length	Mean	SD	min_length	max_length	Froh_1Mb	Froh_2Mb	Froh_4Mb	Froh_8Mb	Froh_16Mb
201094560059_R04C02	38	156.998473	4.13	3.81	1.417651	21.72666	0.063	0.057	0.037	0.024	0.009
201094560059_R06C01	67	348.959206	5.21	3.63	1.135443	15.34172	0.14	0.133	0.107	0.059	
201094560059_R06C02	38	167.413843	4.41	3.92	1.040674	19.744186	0.067	0.063	0.041	0.022	0.014
201094560059_R07C01	19	72.20731	3.8	2.43	1.147952	10.319898	0.029	0.027	0.015	0.008	
201094560059_R07C02	24	81.396817	3.39	2.69	1.202515	12.796249	0.033	0.028	0.015	0.005	
201094560059_R08C01	56	196.861194	3.52	2.19	1.07742	11.028418	0.079	0.07	0.043	0.011	
201094560059_R08C02	61	274.082683	4.49	4.52	1.12173	27.625145	0.11	0.099	0.074	0.047	0.018
201094560059_R09C01	13	66.036561	5.08	3.76	1.97205	16.098027	0.027	0.026	0.019	0.006	0.006
201094560059_R09C02	16	53.609858	3.35	3.99	1.13482	17.995771	0.022	0.018	0.007	0.007	0.007
201094560059_R10C01	88	721.227963	8.2	7.99	1.332657	32.60458	0.29	0.281	0.258	0.203	0.128
201094560059_R10C02	65	326.583992	5.02	3.87	1.293037	18.587513	0.131	0.125	0.097	0.053	0.022
201094560059_R11C01	67	270.566619	4.04	3.64	1.030036	24.908111	0.109	0.098	0.062	0.034	0.01
201094560059_R11C02	48	218.936041	4.56	2.7	1.376267	13.33911	0.088	0.083	0.061	0.021	
201094560059_R12C01	80	389.12149	4.86	4.34	1.020993	23.762282	0.156	0.148	0.107	0.058	0.032
201094560059_R12C02	71	363.322072	5.12	4.36	1.241099	23.728501	0.146	0.137	0.109	0.07	0.01
201094560060_R02C01	21	75.96915	3.62	3.78	1.002778	12.27021	0.031	0.022	0.02	0.017	
201094560060_R02C02	19	64.440273	3.39	3.01	1.027181	13.054644	0.026	0.021	0.013	0.009	
201094560060_R04C01	27	141.820591	5.25	5.24	1.142196	23.051048	0.057	0.052	0.042	0.029	0.009
201094560060_R04C02	13	44.929788	3.46	2.35	1.267493	9.833332	0.018	0.018	0.007	0.004	
201094560060_R06C01	22	51.057523	2.32	0.69	1.145577	3.502714	0.021	0.016			
201094560060_R06C02	67	357.7262	5.34	5.54	1.110675	28.861552	0.144	0.134	0.108	0.077	0.037
201094560060_R07C01	35	201.362917	5.75	6.02	1.15935	25.773732	0.081	0.076	0.064	0.041	0.033
201094560060_R07C02	12	25.676315	2.14	0.96	1.298732	4.553441	0.01	0.005	0.002		
201094560060_R08C01	66	364.070687	5.52	5.34	1.247084	27.596921	0.146	0.135	0.118	0.078	0.029
201094560060_R08C02	28	121.480503	4.34	3.39	1.216835	15.340157	0.049	0.045	0.028	0.018	
201094560060_R09C01	11	31.047447	2.82	0.75	1.152423	3.867958	0.012	0.012			
201094560060_R09C02	28	92.981832	3.32	2.3	1.052018	10.712065	0.037	0.031	0.018	0.008	
201094560060_R10C01	54	288.401732	5.34	5.3	1.241298	26.637607	0.116	0.11	0.085	0.051	0.021
201094560060_R10C02	78	497.634427	6.38	6.42	1.450765	34.436264	0.2	0.191	0.161	0.109	0.06
201094560060_R11C01	13	42.58081	3.28	1.91	1.214753	6.689573	0.017	0.015	0.008		
201094560060_R11C02	86	517.190738	6.01	5.98	1.010099	37.724519	0.208	0.196	0.174	0.091	0.045
201094560060_R12C01	23	51.395786	2.23	1.08	1.1222	5.777389	0.021	0.014	0.002		
201094560060_R12C02	81	392.93831	4.85	4.19	1.110295	20.957824	0.158	0.145	0.115	0.074	0.024
201094560067_R02C01	23	69.63039	3.03	2.4	1.123745	10.080836	0.028	0.023	0.012	0.007	
201094560067_R02C02	23	73.192391	3.18	1.8	1.17661	7.006245	0.029	0.024	0.014		
201094560067_R04C01	9	32.183796	3.58	2.31	1.429752	7.855408	0.013	0.011	0.008		
201094560067_R04C02	23	83.678233	3.64	2.92	1.163601	14.129867	0.034	0.028	0.017	0.009	
201094560067_R06C01	47	187.750771	3.99	3.15	1.220929	16.070661	0.075	0.068	0.048	0.017	0.006
201094560067_R06C02	45	232.979367	5.18	5.37	1.476288	30.692808	0.094	0.089	0.07	0.037	0.02
201094560067_R07C01	33	147.39333	4.47	3.79	1.037708	14.702315	0.059	0.054	0.04	0.028	
201094560067_R07C02	16	62.538471	3.91	3.72	1.452593	15.834753	0.025	0.023	0.014	0.01	
201094560067_R08C01	60	348.362868	5.81	5.51	1.073747	23.69978	0.14	0.131	0.112	0.084	0.04
201094560067_R08C02	63	287.274697	4.56	3.68	1.097311	17.420294	0.115	0.106	0.081	0.047	0.007
201094560067_R09C01	24	56.948006	2.37	1.11	1.256369	5.797917	0.023	0.016	0.004		
201094560067_R09C02	51	225.573921	4.42	3.17	1.19963	15.126766	0.091	0.084	0.063	0.027	
201094560067_R10C01	62	366.64022	5.91	5.47	1.375937	27.431957	0.147	0.139	0.121	0.07	0.038
201094560067_R10C02	75	442.727609	5.9	5.25	1.100547	26.759538	0.178	0.169	0.144	0.098	0.031
201094560067_R11C01	40	244.341583	6.11	5.89	1.229391	27.413594	0.098	0.095	0.077	0.052	0.033
201094560067_R11C02	50	236.152846	4.72	5.07	1.042455	31.756482	0.095	0.086	0.066	0.037	0.02
201094560067_R12C01	60	260.186242	4.34	4.22	1.177137	22.923963	0.105	0.089	0.069	0.042	0.023
201094560067_R12C02	15	32.205541	2.15	0.57	1.405022	3.554446	0.013	0.007			
201094560068_R01C01	36	161.41676	4.48	3.38	1.12173	15.482832	0.065	0.058	0.045	0.019	
