Sample_ID	n	total_length	Mean	SD	min_length	max_length	Froh_1Mb	Froh_2Mb	Froh_4Mb	Froh_8Mb	Froh_16Mb
201977910080_R05C01	35	240.283324	6.87	6.07	1.110675	27.708932	0.097	0.095	0.078	0.059	0.026
201977910080_R05C02	24	107.866533	4.49	4.26	1.385504	17.378198	0.043	0.041	0.027	0.017	0.007
201977910080_R06C01	52	266.416874	5.12	4.13	1.154428	20.396365	0.107	0.1	0.081	0.05	0.008
201977910080_R06C02	57	435.977056	7.65	7.7	1.011966	33.970717	0.175	0.169	0.159	0.114	0.065
201977910080_R07C01	17	70.379822	4.14	3.47	1.283193	13.994259	0.028	0.026	0.016	0.01	
201977910080_R07C02	45	202.179639	4.49	4.32	1.155172	19.573035	0.081	0.074	0.056	0.034	0.021
201977910080_R08C01	32	124.269813	3.88	2.73	1.039371	12.329154	0.05	0.044	0.026	0.013	
201977910080_R08C02	14	58.312374	4.17	4.56	1.316559	18.3101	0.023	0.021	0.013	0.011	0.007
201977910080_R09C01	43	229.83591	5.35	6.71	1.445381	39.162119	0.092	0.086	0.065	0.04	0.025
201977910080_R09C02	29	149.978995	5.17	5.44	1.013065	24.137025	0.06	0.056	0.045	0.031	0.016
201977910080_R11C02	54	273.159312	5.06	4.81	1.189215	21.744646	0.11	0.103	0.077	0.049	0.024
201977910086_R10C01	28	132.551301	4.73	3.86	1.561555	14.741645	0.053	0.048	0.036	0.027	
201977910086_R10C02	46	224.58202	4.88	4.48	1.13482	24.011863	0.09	0.082	0.066	0.04	0.01
201977910086_R12C01	30	110.522374	3.68	2.73	1.256553	14.321357	0.044	0.04	0.025	0.006	
201977910086_R12C02	22	61.996232	2.82	1.24	1.311133	5.739182	0.025	0.021	0.006		
202031420014_R02C01	53	264.822835	5	3.94	1.245304	20.044225	0.106	0.1	0.074	0.041	0.015
202031420014_R02C02	50	231.758529	4.64	4.26	1.189215	20.25566	0.093	0.086	0.064	0.034	0.022
202031420014_R04C01	32	101.763279	3.18	1.75	1.142766	8.493506	0.041	0.036	0.017	0.003	
202031420014_R04C02	29	111.728971	3.85	3	1.186692	14.53702	0.045	0.038	0.026	0.013	
202031420014_R06C01	64	388.318842	6.07	5.11	1.045016	23.271226	0.156	0.149	0.127	0.094	0.032
202031420014_R06C02	43	150.155291	3.49	2.04	1.226395	9.768335	0.06	0.052	0.032	0.004	
202031420014_R08C01	66	351.440675	5.32	4.85	1.047443	22.100683	0.141	0.128	0.111	0.074	0.024
202031420014_R08C02	69	350.348159	5.08	4.26	1.061078	21.190249	0.141	0.131	0.107	0.066	0.015
202031420014_R10C01	56	308.624598	5.51	5.41	1.089095	28.285687	0.124	0.116	0.096	0.057	0.033
202031420014_R10C02	8	40.992735	5.12	4.47	1.465102	15.370244	0.016	0.015	0.011	0.006	
202031420014_R12C01	48	201.566144	4.2	3.27	1.159417	15.669818	0.081	0.076	0.05	0.031	
202031420014_R12C02	81	324.409384	4.01	2.93	1.05243	17.819902	0.13	0.118	0.084	0.032	0.007
202031420015_R01C01	33	130.302927	3.95	2.91	1.333852	11.13165	0.052	0.046	0.03	0.02	
202031420015_R01C02	16	51.291	3.21	3.09	1.354262	13.748467	0.021	0.016	0.01	0.006	
202031420015_R02C01	27	105.925251	3.92	2.73	1.198714	12.816874	0.043	0.038	0.023	0.009	
202031420015_R02C02	30	139.833651	4.66	4.16	1.39388	19.149008	0.056	0.052	0.036	0.015	0.015
202031420015_R03C01	29	159.18393	5.49	3.29	1.594949	13.307164	0.064	0.063	0.05	0.029	
202031420015_R04C01	31	136.50904	4.4	3.36	1.089095	12.641515	0.055	0.051	0.035	0.022	
202031420015_R04C02	47	220.615958	4.69	4.7	1.167091	28.676842	0.089	0.082	0.058	0.034	0.012
202031420015_R05C01	74	482.121494	6.52	7.55	1.179456	48.130517	0.194	0.184	0.155	0.117	0.072
202031420015_R05C02	88	537.482989	6.11	6.12	1.165929	40.922394	0.216	0.204	0.176	0.113	0.043
202031420015_R06C01	24	59.292048	2.47	1.09	1.487849	5.327941	0.024	0.016	0.006		
202031420015_R06C02	45	212.879652	4.73	4.29	1.161079	20.82554	0.086	0.079	0.062	0.034	0.016
202031420015_R07C01	60	272.321374	4.54	3.88	1.139486	22.412233	0.109	0.099	0.071	0.049	0.009
202031420015_R07C02	59	341.317351	5.79	6.03	1.033879	30.534108	0.137	0.128	0.109	0.074	0.052
202031420015_R08C01	31	218.370435	7.04	7.9	1.153201	31.446674	0.088	0.082	0.075	0.059	0.034
202031420015_R08C02	27	88.041471	3.26	2.42	1.269591	13.164979	0.035	0.03	0.012	0.005	
202031420015_R09C01	67	429.818864	6.42	6.08	1.13482	30.389065	0.173	0.163	0.139	0.116	0.052
202031420015_R09C02	56	240.551934	4.3	2.75	1.255634	16.068588	0.097	0.092	0.063	0.027	0.006
202031420015_R10C01	8	23.9861	3	2.02	1.664817	7.055482	0.01	0.006	0.005		
202031420015_R10C02	36	199.060292	5.53	4.39	1.305696	19.615941	0.08	0.077	0.057	0.037	0.008
202031420015_R11C01	67	328.728191	4.91	4.19	1.270974	21.00578	0.132	0.122	0.096	0.051	0.016
202031420015_R11C02	46	258.061249	5.61	6.44	1.045313	36.711579	0.104	0.097	0.077	0.061	0.029
202031420015_R12C01	16	49.497353	3.09	1.66	1.162981	6.304731	0.02	0.017	0.009		
202031420015_R12C02	21	85.959195	4.09	2.69	1.355593	9.615576	0.035	0.033	0.022	0.011	
202031420032_R02C01	24	107.589929	4.48	4.26	1.385504	17.378198	0.043	0.041	0.027	0.017	0.007
202031420045_R02C01	52	221.992039	4.27	3.29	1.097311	15.039722	0.089	0.079	0.06	0.038	
202031420045_R02C02	47	220.608135	4.69	5.11	1.105925	26.449564	0.089	0.077	0.061	0.043	0.024
202031420045_R04C01	30	142.065925	4.74	4.25	1.39388	19.149008	0.057	0.053	0.037	0.015	0.015
202031420045_R04C02	15	70.710362	4.71	3.03	1.680953	13.061046	0.028	0.027	0.02	0.009	
202031420045_R06C01	51	245.40521	4.81	3.04	1.064099	13.546139	0.099	0.091	0.074	0.04	
202031420045_R06C02	13	34.569914	2.66	1.48	1.059952	5.754673	0.014	0.011	0.004		
202031420045_R08C01	35	149.954612	4.28	2.98	1.030004	14.464866	0.06	0.054	0.041	0.017	
202031420045_R08C02	10	30.401379	3.04	1.48	1.664817	5.704849	0.012	0.01	0.005		
202031420045_R10C01	32	131.761116	4.12	2.31	1.193078	8.143428	0.053	0.048	0.033	0.01	
202031420045_R10C02	23	98.367475	4.28	2.97	1.416741	11.727383	0.04	0.036	0.023	0.013	
202031420045_R12C01	76	442.79368	5.83	5.09	1.05243	22.014057	0.178	0.169	0.145	0.094	0.034
202031420045_R12C02	63	389.092084	6.18	5.64	1.12774	29.38245	0.156	0.149	0.122	0.1	0.028
202031420064_R01C01	38	169.679683	4.47	3.56	1.283779	21.986364	0.068	0.065	0.045	0.013	0.009
202031420064_R01C02	58	208.349871	3.59	2.82	1.07742	14.040185	0.084	0.07	0.044	0.023	
202031420064_R02C01	60	280.35301	4.67	3.95	1.323435	17.338609	0.113	0.103	0.077	0.045	0.014
202031420064_R02C02	50	277.477706	5.55	4.6	1.370234	24.076631	0.111	0.106	0.086	0.058	0.016
202031420064_R04C01	57	376.490454	6.61	7.26	1.490489	31.630855	0.151	0.145	0.123	0.089	0.061
202031420064_R04C02	23	133.020488	5.78	5.89	1.095787	20.042102	0.053	0.05	0.041	0.028	0.023
202031420064_R05C01	60	282.425626	4.71	3.25	1.203238	14.598375	0.113	0.107	0.076	0.039	
202031420064_R05C02	76	417.894844	5.5	4.65	1.045201	24.0336	0.168	0.158	0.128	0.083	0.026
202031420064_R06C01	35	139.496695	3.99	3.36	1.365154	13.570672	0.056	0.049	0.034	0.023	
202031420064_R07C01	47	212.730476	4.53	3.18	1.260284	17.372694	0.085	0.08	0.054	0.023	0.007
202031420064_R07C02	66	331.806452	5.03	4.95	1.106067	26.812173	0.133	0.124	0.09	0.061	0.032
202031420064_R08C01	50	196.556524	3.93	4.31	1.018092	26.449136	0.079	0.068	0.049	0.025	0.017
202031420064_R08C02	27	71.113563	2.63	1.19	1.24414	6.796119	0.029	0.022	0.004		
202031420064_R09C01	13	34.569914	2.66	1.48	1.059952	5.754673	0.014	0.011	0.004		
202031420064_R09C02	70	374.036326	5.34	5.62	1.105925	35.232644	0.15	0.141	0.109	0.065	0.038
202031420064_R10C01	19	81.901438	4.31	4.58	1.448814	19.983197	0.033	0.028	0.021	0.015	0.008
202031420064_R10C02	27	100.288284	3.71	2.51	1.072343	10.320711	0.04	0.035	0.022	0.008	
202031420064_R11C01	53	287.652007	5.43	4.63	1.384642	20.120821	0.116	0.109	0.085	0.055	0.023
202031420064_R12C01	29	74.624698	2.57	1.64	1.404448	9.092752	0.03	0.022	0.01	0.004	
202031420064_R12C02	47	213.901681	4.55	3.59	1.055621	18.755932	0.086	0.079	0.056	0.026	0.008
202031420075_R06C02	27	117.443638	4.35	4.51	1.229742	20.912973	0.047	0.043	0.033	0.018	0.015
202031420075_R08C01	44	185.505274	4.22	3.75	1.038037	17.911071	0.075	0.068	0.045	0.027	0.007
202031420083_R01C01	24	111.927237	4.66	7.34	1.118833	38.294136	0.045	0.04	0.028	0.015	0.015
202031420083_R01C02	42	228.815361	5.45	4.33	1.250579	18.460461	0.092	0.086	0.073	0.049	0.007
202031420083_R02C01	51	315.406698	6.18	5.48	1.000086	24.162014	0.127	0.122	0.102	0.076	0.033
202031420083_R02C02	59	280.41344	4.75	4.16	1.451812	17.338609	0.113	0.103	0.077	0.052	0.014
202031420083_R03C02	73	642.318156	8.8	8.56	1.395115	36.642861	0.258	0.252	0.226	0.186	0.121
202031420083_R04C01	67	292.066515	4.36	3.26	1.333852	18.374875	0.117	0.107	0.079	0.033	0.007
202031420083_R04C02	54	313.253407	5.8	6.72	1.072674	43.660959	0.126	0.118	0.099	0.068	0.026
202031420083_R05C01	44	249.305114	5.67	4.46	1.216835	18.538913	0.1	0.093	0.08	0.054	0.014
202031420083_R05C02	58	317.825439	5.48	5.42	1.256794	34.48941	0.128	0.119	0.095	0.065	0.021
202031420083_R06C01	30	164.281797	5.48	4.13	1.11096	14.496888	0.066	0.064	0.051	0.037	
202031420083_R06C02	12	29.970116	2.5	0.82	1.57516	3.77052	0.012	0.009			
202031420083_R07C01	59	306.279789	5.19	4.7	1.071628	22.56543	0.123	0.112	0.093	0.057	0.017
202031420083_R07C02	58	256.772996	4.43	2.98	1.115729	15.525064	0.103	0.097	0.068	0.028	
202031420083_R08C01	62	321.840228	5.19	4.95	1.04286	27.515479	0.129	0.118	0.092	0.066	0.018
202031420083_R09C01	43	123.698312	2.88	1.75	1.247871	8.278398	0.05	0.038	0.025	0.003	
202031420083_R09C02	56	255.468386	4.56	3.42	1.281245	17.055283	0.103	0.094	0.074	0.033	0.007
202031420083_R10C01	52	234.494336	4.51	3.33	1.310549	16.09091	0.094	0.084	0.071	0.034	0.006
202031420083_R10C02	32	119.275738	3.73	2.46	1.338064	11.290209	0.048	0.042	0.025	0.008	
202031420083_R11C01	75	345.396474	4.61	3.17	1.105555	13.638906	0.139	0.129	0.098	0.048	
202031420083_R11C02	48	224.837199	4.68	3.89	1.154956	16.63846	0.09	0.081	0.066	0.032	0.007
202031420083_R12C01	46	209.263041	4.55	3.01	1.21237	15.389184	0.084	0.08	0.061	0.019	
202031420083_R12C02	29	83.81208	2.89	1.39	1.148053	5.925689	0.034	0.027	0.012		
202031420084_R01C01	15	52.565522	3.5	3.32	1.181601	12.247103	0.021	0.018	0.011	0.009	
202031420084_R01C02	15	46.248259	3.08	2.49	1.063209	11.727383	0.019	0.017	0.005	0.005	
202031420084_R02C01	65	287.431623	4.42	3.33	1.135443	15.957031	0.115	0.109	0.072	0.031	
202031420084_R02C02	83	356.220841	4.29	3.43	1.061385	22.399661	0.143	0.13	0.093	0.043	0.009
202031420084_R03C01	57	324.564609	5.69	5.19	1.080295	25.933184	0.13	0.122	0.107	0.069	0.01
202031420084_R03C02	48	207.770334	4.33	3.73	1.034148	18.426532	0.083	0.075	0.057	0.036	0.007
202031420084_R04C01	74	482.138272	6.52	5.75	1.172241	25.762737	0.194	0.186	0.157	0.127	0.056
202031420084_R04C02	33	143.113355	4.34	4.79	1.106067	26.403349	0.057	0.051	0.037	0.02	0.011
202031420084_R05C01	72	374.084836	5.2	3.91	1.309151	20.213729	0.15	0.139	0.121	0.046	0.023
202031420084_R05C02	27	117.443638	4.35	4.51	1.229742	20.912973	0.047	0.043	0.033	0.018	0.015
202031420084_R06C01	14	44.014902	3.14	2.07	1.360504	9.235437	0.018	0.015	0.007	0.004	
202031420084_R06C02	26	64.582846	2.48	1.15	1.135443	5.459832	0.026	0.019	0.006		
202031420084_R07C01	60	537.120793	8.95	10.19	1.135443	55.063044	0.216	0.21	0.194	0.159	0.108
202031420084_R07C02	67	396.385129	5.92	7.7	1.23762	49.179121	0.159	0.149	0.126	0.089	0.042
202031420084_R08C01	66	366.044944	5.55	4.14	1.066412	21.116186	0.147	0.142	0.119	0.067	0.016
202031420084_R08C02	18	54.133399	3.01	2.12	1.386901	8.255142	0.022	0.016	0.01	0.003	
202031420084_R09C01	70	382.118844	5.46	4.6	1.128946	21.105561	0.153	0.142	0.125	0.077	0.023
202031420084_R09C02	67	352.934199	5.27	5.07	1.010099	24.291638	0.142	0.129	0.105	0.086	0.025
202031420084_R10C01	54	242.136309	4.48	3.71	1.120348	16.547766	0.097	0.088	0.062	0.038	0.007
202031420084_R10C02	40	189.233372	4.73	3.26	1.003033	16.652983	0.076	0.072	0.053	0.029	0.007
202031420084_R11C01	78	399.84411	5.13	3.92	1.042114	21.14936	0.161	0.15	0.121	0.066	0.015
202031420084_R11C02	79	564.159774	7.14	7.33	1.143488	44.073642	0.227	0.219	0.187	0.146	0.086
202031420084_R12C01	59	246.926273	4.19	3.54	1.045016	17.175047	0.099	0.089	0.064	0.035	0.007
202031420084_R12C02	10	32.580232	3.26	1.6	1.180956	5.359089	0.013	0.011	0.008		
202036010011_R02C02	16	53.982893	3.37	2.5	1.402112	9.336551	0.022	0.018	0.011	0.007	
202036010011_R04C01	42	180.654016	4.3	3.7	1.166486	19.801905	0.073	0.064	0.049	0.025	0.008
202036010011_R04C02	49	203.083474	4.14	3.21	1.010099	13.322326	0.082	0.072	0.058	0.033	
202036010011_R06C01	60	353.103828	5.89	5.4	1.156716	28.668105	0.142	0.134	0.118	0.07	0.041
202036010011_R06C02	28	113.964236	4.07	3.28	1.081467	15.292666	0.046	0.041	0.028	0.014	
202036010011_R08C01	25	92.705932	3.71	2.42	1.335584	9.66738	0.037	0.035	0.018	0.011	
202036010011_R08C02	89	478.650074	5.38	4.64	1.111972	26.263389	0.192	0.18	0.149	0.097	0.026
202036010011_R10C01	5	10.240826	2.05	0.52	1.471359	2.517524	0.004	0.003			
202036010011_R10C02	27	148.587924	5.5	9.05	1.241565	47.545938	0.06	0.054	0.043	0.033	0.026
202036010011_R12C01	30	159.43668	5.31	4.52	1.435882	18.046678	0.064	0.058	0.049	0.035	0.007
202036010011_R12C02	54	198.826876	3.68	1.99	1.364484	8.805617	0.08	0.073	0.045	0.011	
